wavelength_nm,absorbance
350.0,0.018113862943820544
351.0,0.01589963580480419
352.0,0.018678685521306252
353.0,0.019392853571070245
354.0,0.003701682709395828
355.0,0.008954944326705235
356.0,0.012040622051383844
357.0,0.01811452770301413
358.0,0.01753231411035273
359.0,0.024366329450512574
360.0,0.02590812578686428
361.0,0.016807544674660255
362.0,0.018505448155292384
363.0,0.02480817251829944
364.0,0.0220674511391786
365.0,0.038486233289508724
366.0,0.025669580941209563
367.0,0.025603167249064564
368.0,0.04041947975956244
369.0,0.03678688369415915
370.0,0.04163889402433518
371.0,0.030020980222246182
372.0,0.04382584864907669
373.0,0.043134680844865325
374.0,0.042009717831310724
375.0,0.047378498988350656
376.0,0.039259641722571466
377.0,0.03891568409679651
378.0,0.05432297431428182
379.0,0.04788566418557437
380.0,0.04563356425216737
381.0,0.04763099004957041
382.0,0.05610547762414125
383.0,0.05020771854080741
384.0,0.06470317243372606
385.0,0.06929388983792054
386.0,0.06363644100584163
387.0,0.06720754499617818
388.0,0.09003501538338923
389.0,0.06529615044725906
390.0,0.06772034691114688
391.0,0.07006926649659798
392.0,0.08781756981764904
393.0,0.09151447424777757
394.0,0.0881112507130115
395.0,0.09897759747141825
396.0,0.09879319974221505
397.0,0.08428297312361885
398.0,0.10832482716146646
399.0,0.11720920877912257
400.0,0.11187655275814617
401.0,0.10638108065985642
402.0,0.09813659031755928
403.0,0.11192030083355073
404.0,0.12453474521264672
405.0,0.11839357789380002
406.0,0.13142892578518278
407.0,0.12668939886857872
408.0,0.13289843410202073
409.0,0.1243720100194972
410.0,0.13654556356247854
411.0,0.1407717461197562
412.0,0.13873965225513069
413.0,0.13709714294789618
414.0,0.14885543078936825
415.0,0.13728002173496107
416.0,0.14310688939261645
417.0,0.11899942854031313
418.0,0.15039094069525624
419.0,0.1318520545455963
420.0,0.14468189294108533
421.0,0.14065761270882893
422.0,0.1462722676288915
423.0,0.1656521692427113
424.0,0.14333186047652827
425.0,0.14878787939154361
426.0,0.15846929023036335
427.0,0.14563615015092038
428.0,0.14485157424612272
429.0,0.15707064330223186
430.0,0.15354334859250707
431.0,0.1223391951448671
432.0,0.14065906256763386
433.0,0.142267249542146
434.0,0.15510838816768138
435.0,0.12652567651968766
436.0,0.15303237716010287
437.0,0.12372344892798864
438.0,0.13562715824023086
439.0,0.12834417989312918
440.0,0.1402490449469008
441.0,0.11689233470515265
442.0,0.12203462200554828
443.0,0.12763234878522656
444.0,0.11987288917857696
445.0,0.11888585559969976
446.0,0.11064924794271677
447.0,0.11077732005916294
448.0,0.10073232006970699
449.0,0.10896611947779675
450.0,0.09496539339725549
451.0,0.1085616065522565
452.0,0.10072687492748618
453.0,0.10225906605814421
454.0,0.09455942316164939
455.0,0.0864451593339121
456.0,0.09607526370813631
457.0,0.07640754004124765
458.0,0.07750793484333271
459.0,0.07511750632324396
460.0,0.07118023880387082
461.0,0.06865702555023878
462.0,0.06514519964807701
463.0,0.07387506543991947
464.0,0.06500201600603973
465.0,0.07123937983397984
466.0,0.06630159102500964
467.0,0.06851536447190294
468.0,0.0780629437410403
469.0,0.05182217447639149
470.0,0.05894017057809482
471.0,0.04826199490962382
472.0,0.05420711770913911
473.0,0.049994327503809055
474.0,0.05449885729472727
475.0,0.055963389643912745
476.0,0.04815034779759725
477.0,0.06031487462831661
